time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.126387034842426e-07,3.2169118468441554e-09,10.002917493631113,4.192386329648912e-06,0.0005015599306741336,0.0,-4.974210827418299e-05,3.205789745017813e-07,0.09724572400387815,0.00020926696556724795,0.021298258708610934,0.0,435.581996207369,437.3590945457861,435.56991462700285,435.5874104262209
0.12000000000000001,-1.903262986861837e-05,6.958179365137822e-08,10.012116164866233,6.283024338509815,0.0016306447776379684,0.0,-0.0006897274490268394,-5.220875270579388e-06,0.2093618805180911,-0.009455382903191038,0.013328860360387629,0.0,440.92509843906277,440.2662914791459,441.2948145029986,440.4965175801278
0.18,-0.00010472690482634621,-5.479676523776663e-06,10.031416638673228,3.793135492635713e-05,0.0030310777684920964,0.0,-0.0023053695669856857,-0.00019257284071290848,0.4339281636385678,0.021084459848437674,0.03820534278847772,0.0,473.88749006881886,475.7955490955336,473.69222455671377,476.0345293552352
0.23999999999999996,-0.00032036399383962566,-1.0625404179356244e-05,10.06193699981437,0.0016285651562251147,0.005906796387407098,0.0,-0.0051701758208669395,0.00017905226152845806,0.5833510513218638,0.03560450591754358,0.06246546753577177,0.0,451.806849927067,453.7595617468417,451.6945981693647,452.864000915538
0.3,-0.0007790118519893306,4.5526759028712716e-05,10.101750560540376,0.0036547426231656743,0.009770828756506589,0.0,-0.010539998018992186,0.0019236904486489756,0.7436730000497401,0.029822012755991438,0.06801249696641937,0.0,455.0990595315189,455.54569461062005,456.94778510661513,456.4870803667761
0.36000000000000004,-0.001633055678054391,0.00024479144659968693,10.149764001564495,0.005133005970239246,0.013901762594136002,0.0,-0.018354091982493118,0.004890857283732625,0.8566911297791513,0.011461308301439956,0.07047049484893013,0.0,441.38015449938564,441.5865570441431,442.49229301719083,440.97851702789313
0.4200000000000001,-0.003117972031592829,0.0006745603861133006,10.209403950487367,0.005389838170364314,0.019694339345979195,0.0,-0.03181115272920636,0.009502305854505809,1.1310656027927768,-0.016682797351477607,0.12441392769115195,0.0,488.7062057450635,492.715956876795,490.14950817280965,488.05367710019345
0.48000000000000015,-0.005505902661174144,0.0013629384591101958,10.2823468716269,0.004213359837959452,0.02679655695583527,0.0,-0.04860484687745934,0.01332127514829155,1.3001699256035313,-0.026214985499504705,0.10217606931234507,0.0,461.3142722164708,459.56695831281274,459.2188945735725,458.46226943370743
0.5400000000000001,-0.009094297539825755,0.002256857244755135,10.366757247823768,0.002878206948099482,0.03259253721007482,0.0,-0.07171314670925125,0.01630345130176431,1.5132311606763915,-0.015317973920108233,0.08209735509977237,0.0,473.75831201329845,472.2193192547906,472.92191917736227,473.76042378143967
0.6000000000000002,-0.01406572148044218,0.0032889987403976616,10.459843817431437,0.0017681676675760372,0.037243555269259154,0.0,-0.09447127763301685,0.018001901715060678,1.5895341282793531,-0.02577708683565401,0.06627668191004177,0.0,432.6740119968031,431.3450160146911,431.8833325790296,431.0003714812366
0.6600000000000003,-0.02065589298533189,0.004405406733528267,10.561820985492867,0.0005010097386373147,0.041002199681847706,0.0,-0.12565356764159363,0.01904432885618256,1.8093636752075388,-0.013136137198469743,0.054158878995018665,0.0,476.4420546512773,475.51727928554675,475.5185572642778,476.48585700341937
0.7200000000000003,-0.029432986320266027,0.0055589662995323835,10.682443468298112,6.283140380331094,0.0446463626523661,0.0,-0.16739666626490832,0.019311123145335087,2.210675194249977,-0.0020488070540441356,0.07140646493049124,0.0,526.5797807270288,527.7733934094302,526.5734970014113,527.3399954434552
0.7800000000000004,-0.04043573638487781,0.006718239472347266,10.818509395845183,0.0010832389863075775,0.0490062468790704,0.0,-0.19980159524957938,0.019401462483877255,2.3246065458878222,0.04333845336153526,0.07506819220806679,0.0,446.469230344632,446.771929003051,444.0222070605551,447.7301067218296
0.8400000000000004,-0.05370245826681657,0.007922510938155707,10.965955551641317,0.00324624935590645,0.053481379221756775,0.0,-0.24296228567138292,0.021049731235612233,2.589668901911394,0.01459035999336942,0.07360289296573061,0.0,491.9470703405154,491.84232962018103,492.5822026404291,490.45215209888806
0.9000000000000005,-0.06968715061760342,0.009273643316898216,11.129556926307378,0.004069865316441046,0.05761568554572882,0.0,-0.29037469623852963,0.024094169244610438,2.8630291763410463,0.01194165283899088,0.05730024132199623,0.0,495.9131432962859,494.7172356577111,495.2713878308232,495.0764101731291
0.9600000000000005,-0.08835571805363983,0.010809076873493136,11.30503663596087,0.004835974660017506,0.06099849607020946,0.0,-0.3322528845640561,0.027163665487798944,2.9859523293126893,0.014372873074168988,0.0544742624411877,0.0,451.6640508757996,451.4381879252743,452.9414997703012,453.1368599784739
1.0200000000000005,-0.10956094538980024,0.012541502507641009,11.487089255282612,0.0055935351209717155,0.06516582023591866,0.0,-0.3749606244735708,0.030664814328348285,3.082180141842637,0.008881007308791683,0.08929950773458593,0.0,442.7707460523387,445.6299744251085,445.44001762882954,444.9905588956195
1.0800000000000005,-0.13369699210500607,0.014521936460442872,11.679068992132713,0.006012765028642342,0.07005627523093327,0.0,-0.43016639275056395,0.035403976865301015,3.3164385660489417,0.0029013612033790275,0.057520758378861614,0.0,487.63014932218294,485.25486100617996,487.27944150651075,486.8321134336639
1.1400000000000006,-0.16088354958388207,0.016763508360141288,11.879813653088512,0.005830730003522078,0.07342659857968226,0.0,-0.47636872400177954,0.039317217872329634,3.37484384201097,-0.018846621430889058,0.0533293971005721,0.0,435.12880202938067,434.77998566702024,435.59478050602837,433.7722646432342
