episode,rewards_total
1,45.58486253159077
2,45.5897374188691
3,47.11466943828105
4,54.081156437116924
5,53.238905060887234
6,55.20112813916267
7,51.216336511933314
8,53.13919076641083
9,51.229958039075555
10,51.22065240560406
11,53.04029145454231
12,53.051485343741334
13,53.08136807833868
14,49.009003350881855
15,49.030673589448185
16,49.11577321436411
17,52.98409324215915
18,50.8268545819761
19,50.968481220072206
20,53.360884533892566
21,55.40433928276452
22,55.594999079186735
23,55.48293528004689
24,55.467616971936266
25,55.426099855455945
26,55.379065032093976
27,55.32518407654926
28,55.94506689441774
29,55.247383056160274
30,55.495567632337746
31,57.148589032772826
32,52.97914037528922
33,66.81320732223298
34,49.981041878128224
35,54.126380747346225
36,50.05572404553458
37,47.7930531683584
38,50.23507780023079
39,55.780006691321525
40,55.44941754665707
41,49.47102159352071
42,53.68462236698893
43,55.33431801538719
44,46.93537893365442
45,57.65077824559785
46,55.359043574989336
47,55.418144322498435
48,52.78777327730112
49,55.12269381899312
50,58.41934160566221
51,38.193805484098334
52,40.58935536118812
53,47.35283328150542
54,40.36877626624494
55,54.84897241807631
56,61.152308219976824
57,57.52816467792922
58,55.70064344231248
59,52.14443114844029
60,49.811786950390925
61,49.96638885156519
62,48.12346336097685
63,50.14439077827944
64,48.354136984733344
65,50.53088187658972
66,46.66289679718736
67,59.343892691934094
68,57.37199373111082
69,59.9697897192309
70,50.725849892252114
71,54.17296446195014
72,45.859732024364625
73,55.900718544640185
74,47.971779213854575
75,51.37706583164926
76,53.419008754364825
77,54.52298783610331
78,52.90900320069434
79,51.93557042080124
80,50.25861438256361
81,75.1515114178071
82,61.835276029044245
83,56.0666472052162
84,48.23393071095345
85,48.32534339880015
86,73.28263185165926
87,40.35550266142351
88,45.48931422686964
89,60.57195371375694
90,66.46788221290358
91,40.52467232171116
92,37.27927003332614
93,38.45117717568273
94,60.660303936712594
95,51.891732737483224
96,44.80972741731619
97,59.28954507444211
98,58.399975639498194
99,53.45318090431096
100,57.481800998711755
101,48.99888846194937
102,52.662526124443595
103,59.03658425847753
104,64.52987090255465
105,55.21578791363138
106,64.68434958198162
107,64.08470133386908
108,49.9744549647357
109,51.459135923446176
110,65.41751711428203
111,40.29245628127677
112,41.637480638357054
113,69.28825243090932
114,48.765933072713175
115,51.29596040434397
116,49.711169688863556
117,55.67133889359782
118,53.391197375452634
119,48.107282304051296
120,84.87816464641534
121,47.80121944761873
122,66.97994355069493
123,49.902327327333055
124,55.25165001472461
125,56.190138198659874
126,45.83263806275585
127,50.94751079615281
128,48.81708440838641
129,50.600758009418705
130,48.2469047663851
131,50.134533981703726
132,60.47569668238791
133,58.06331896593648
134,45.350921865161915
135,61.89451075180214
136,55.46183556933639
137,58.8035984238868
138,55.00995412988896
139,58.97767564903854
140,52.191998131888255
141,56.502661876464906
142,50.04665610670524
143,48.17008028620769
144,56.94831643357971
